curso,asistentes [01-04-2025],inasistentes [01-04-2025],asistentes [01-08-2025],inasistentes [01-08-2025],asistentes [01-09-2025],inasistentes [01-09-2025],asistentes [01-10-2025],inasistentes [01-10-2025],asistentes [02-04-2025],inasistentes [02-04-2025],asistentes [02-06-2025],inasistentes [02-06-2025],asistentes [02-09-2025],inasistentes [02-09-2025],asistentes [02-10-2025],inasistentes [02-10-2025],asistentes [03-03-2025],inasistentes [03-03-2025],asistentes [03-04-2025],inasistentes [03-04-2025],asistentes [03-06-2025],inasistentes [03-06-2025],asistentes [03-09-2025],inasistentes [03-09-2025],asistentes [03-10-2025],inasistentes [03-10-2025],asistentes [03-11-2025],inasistentes [03-11-2025],asistentes [04-03-2025],inasistentes [04-03-2025],asistentes [04-04-2025],inasistentes [04-04-2025],asistentes [04-06-2025],inasistentes [04-06-2025],asistentes [04-08-2025],inasistentes [04-08-2025],asistentes [04-09-2025],inasistentes [04-09-2025],asistentes [04-11-2025],inasistentes [04-11-2025],asistentes [05-03-2025],inasistentes [05-03-2025],asistentes [05-05-2025],inasistentes [05-05-2025],asistentes [05-06-2025],inasistentes [05-06-2025],asistentes [05-08-2025],inasistentes [05-08-2025],asistentes [05-09-2025],inasistentes [05-09-2025],asistentes [05-11-2025],inasistentes [05-11-2025],asistentes [06-03-2025],inasistentes [06-03-2025],asistentes [06-05-2025],inasistentes [06-05-2025],asistentes [06-06-2025],inasistentes [06-06-2025],asistentes [06-08-2025],inasistentes [06-08-2025],asistentes [06-10-2025],inasistentes [06-10-2025],asistentes [06-11-2025],inasistentes [06-11-2025],asistentes [07-03-2025],inasistentes [07-03-2025],asistentes [07-04-2025],inasistentes [07-04-2025],asistentes [07-05-2025],inasistentes [07-05-2025],asistentes [07-07-2025],inasistentes [07-07-2025],asistentes [07-08-2025],inasistentes [07-08-2025],asistentes [07-10-2025],inasistentes [07-10-2025],asistentes [07-11-2025],inasistentes [07-11-2025],asistentes [08-04-2025],inasistentes [08-04-2025],asistentes [08-05-2025],inasistentes [08-05-2025],asistentes [08-07-2025],inasistentes [08-07-2025],asistentes [08-08-2025],inasistentes [08-08-2025],asistentes [08-09-2025],inasistentes [08-09-2025],asistentes [08-10-2025],inasistentes [08-10-2025],asistentes [09-04-2025],inasistentes [09-04-2025],asistentes [09-05-2025],inasistentes [09-05-2025],asistentes [09-06-2025],inasistentes [09-06-2025],asistentes [09-07-2025],inasistentes [09-07-2025],asistentes [09-09-2025],inasistentes [09-09-2025],asistentes [09-10-2025],inasistentes [09-10-2025],asistentes [10-03-2025],inasistentes [10-03-2025],asistentes [10-04-2025],inasistentes [10-04-2025],asistentes [10-06-2025],inasistentes [10-06-2025],asistentes [10-07-2025],inasistentes [10-07-2025],asistentes [10-09-2025],inasistentes [10-09-2025],asistentes [10-10-2025],inasistentes [10-10-2025],asistentes [10-11-2025],inasistentes [10-11-2025],asistentes [11-03-2025],inasistentes [11-03-2025],asistentes [11-04-2025],inasistentes [11-04-2025],asistentes [11-06-2025],inasistentes [11-06-2025],asistentes [11-07-2025],inasistentes [11-07-2025],asistentes [11-08-2025],inasistentes [11-08-2025],asistentes [11-09-2025],inasistentes [11-09-2025],asistentes [11-11-2025],inasistentes [11-11-2025],asistentes [12-03-2025],inasistentes [12-03-2025],asistentes [12-05-2025],inasistentes [12-05-2025],asistentes [12-06-2025],inasistentes [12-06-2025],asistentes [12-08-2025],inasistentes [12-08-2025],asistentes [12-09-2025],inasistentes [12-09-2025],asistentes [12-11-2025],inasistentes [12-11-2025],asistentes [13-03-2025],inasistentes [13-03-2025],asistentes [13-05-2025],inasistentes [13-05-2025],asistentes [13-06-2025],inasistentes [13-06-2025],asistentes [13-08-2025],inasistentes [13-08-2025],asistentes [13-10-2025],inasistentes [13-10-2025],asistentes [13-11-2025],inasistentes [13-11-2025],asistentes [14-03-2025],inasistentes [14-03-2025],asistentes [14-04-2025],inasistentes [14-04-2025],asistentes [14-05-2025],inasistentes [14-05-2025],asistentes [14-07-2025],inasistentes [14-07-2025],asistentes [14-08-2025],inasistentes [14-08-2025],asistentes [14-10-2025],inasistentes [14-10-2025],asistentes [14-11-2025],inasistentes [14-11-2025],asistentes [15-04-2025],inasistentes [15-04-2025],asistentes [15-05-2025],inasistentes [15-05-2025],asistentes [15-07-2025],inasistentes [15-07-2025],asistentes [15-10-2025],inasistentes [15-10-2025],asistentes [16-04-2025],inasistentes [16-04-2025],asistentes [16-05-2025],inasistentes [16-05-2025],asistentes [16-06-2025],inasistentes [16-06-2025],asistentes [16-10-2025],inasistentes [16-10-2025],asistentes [17-03-2025],inasistentes [17-03-2025],asistentes [17-04-2025],inasistentes [17-04-2025],asistentes [17-06-2025],inasistentes [17-06-2025],asistentes [17-07-2025],inasistentes [17-07-2025],asistentes [17-11-2025],inasistentes [17-11-2025],asistentes [18-03-2025],inasistentes [18-03-2025],asistentes [18-06-2025],inasistentes [18-06-2025],asistentes [18-07-2025],inasistentes [18-07-2025],asistentes [18-08-2025],inasistentes [18-08-2025],asistentes [18-11-2025],inasistentes [18-11-2025],asistentes [19-03-2025],inasistentes [19-03-2025],asistentes [19-05-2025],inasistentes [19-05-2025],asistentes [19-06-2025],inasistentes [19-06-2025],asistentes [19-08-2025],inasistentes [19-08-2025],asistentes [19-11-2025],inasistentes [19-11-2025],asistentes [20-03-2025],inasistentes [20-03-2025],asistentes [20-05-2025],inasistentes [20-05-2025],asistentes [20-08-2025],inasistentes [20-08-2025],asistentes [20-10-2025],inasistentes [20-10-2025],asistentes [20-11-2025],inasistentes [20-11-2025],asistentes [21-03-2025],inasistentes [21-03-2025],asistentes [21-04-2025],inasistentes [21-04-2025],asistentes [21-07-2025],inasistentes [21-07-2025],asistentes [21-08-2025],inasistentes [21-08-2025],asistentes [21-10-2025],inasistentes [21-10-2025],asistentes [21-11-2025],inasistentes [21-11-2025],asistentes [22-04-2025],inasistentes [22-04-2025],asistentes [22-05-2025],inasistentes [22-05-2025],asistentes [22-07-2025],inasistentes [22-07-2025],asistentes [22-08-2025],inasistentes [22-08-2025],asistentes [22-09-2025],inasistentes [22-09-2025],asistentes [22-10-2025],inasistentes [22-10-2025],asistentes [23-04-2025],inasistentes [23-04-2025],asistentes [23-05-2025],inasistentes [23-05-2025],asistentes [23-07-2025],inasistentes [23-07-2025],asistentes [23-09-2025],inasistentes [23-09-2025],asistentes [23-10-2025],inasistentes [23-10-2025],asistentes [24-03-2025],inasistentes [24-03-2025],asistentes [24-04-2025],inasistentes [24-04-2025],asistentes [24-07-2025],inasistentes [24-07-2025],asistentes [24-09-2025],inasistentes [24-09-2025],asistentes [24-10-2025],inasistentes [24-10-2025],asistentes [24-11-2025],inasistentes [24-11-2025],asistentes [25-03-2025],inasistentes [25-03-2025],asistentes [25-04-2025],inasistentes [25-04-2025],asistentes [25-07-2025],inasistentes [25-07-2025],asistentes [25-08-2025],inasistentes [25-08-2025],asistentes [25-09-2025],inasistentes [25-09-2025],asistentes [25-11-2025],inasistentes [25-11-2025],asistentes [26-03-2025],inasistentes [26-03-2025],asistentes [26-05-2025],inasistentes [26-05-2025],asistentes [26-08-2025],inasistentes [26-08-2025],asistentes [26-09-2025],inasistentes [26-09-2025],asistentes [26-11-2025],inasistentes [26-11-2025],asistentes [27-03-2025],inasistentes [27-03-2025],asistentes [27-05-2025],inasistentes [27-05-2025],asistentes [27-08-2025],inasistentes [27-08-2025],asistentes [27-10-2025],inasistentes [27-10-2025],asistentes [28-03-2025],inasistentes [28-03-2025],asistentes [28-04-2025],inasistentes [28-04-2025],asistentes [28-05-2025],inasistentes [28-05-2025],asistentes [28-07-2025],inasistentes [28-07-2025],asistentes [28-08-2025],inasistentes [28-08-2025],asistentes [28-10-2025],inasistentes [28-10-2025],asistentes [29-04-2025],inasistentes [29-04-2025],asistentes [29-05-2025],inasistentes [29-05-2025],asistentes [29-07-2025],inasistentes [29-07-2025],asistentes [29-08-2025],inasistentes [29-08-2025],asistentes [29-09-2025],inasistentes [29-09-2025],asistentes [29-10-2025],inasistentes [29-10-2025],asistentes [30-04-2025],inasistentes [30-04-2025],asistentes [30-05-2025],inasistentes [30-05-2025],asistentes [30-09-2025],inasistentes [30-09-2025],asistentes [30-10-2025],inasistentes [30-10-2025],asistentes [31-03-2025],inasistentes [31-03-2025],asistentes [31-07-2025],inasistentes [31-07-2025]
COLEGIO,1322.0,95.0,1183.0,233.0,1282.0,132.0,1267.0,151.0,1324.0,93.0,1250.0,165.0,1307.0,107.0,1269.0,149.0,1321.0,73.0,1300.0,116.0,1277.0,139.0,1298.0,116.0,1236.0,182.0,1227.0,191.0,1324.0,72.0,1315.0,101.0,1272.0,142.0,1259.0,156.0,1296.0,118.0,1303.0,115.0,1336.0,62.0,1288.0,125.0,1263.0,151.0,1270.0,144.0,1295.0,119.0,1284.0,134.0,1332.0,67.0,1282.0,131.0,1268.0,146.0,1278.0,136.0,1228.0,190.0,1272.0,146.0,1299.0,102.0,1299.0,117.0,1270.0,143.0,1235.0,186.0,1248.0,166.0,1262.0,156.0,1272.0,146.0,1309.0,107.0,1268.0,145.0,1277.0,140.0,1242.0,172.0,1304.0,110.0,1246.0,172.0,1313.0,104.0,1268.0,144.0,1253.0,161.0,1283.0,134.0,1330.0,84.0,1249.0,169.0,1329.0,70.0,1295.0,121.0,1280.0,133.0,1317.0,100.0,1313.0,101.0,1228.0,190.0,1256.0,163.0,1300.0,101.0,1296.0,121.0,1275.0,138.0,1261.0,156.0,1242.0,172.0,1287.0,127.0,1309.0,110.0,1295.0,107.0,1296.0,116.0,1126.0,287.0,1302.0,113.0,1242.0,172.0,1309.0,110.0,1286.0,116.0,1283.0,129.0,1154.0,259.0,1289.0,126.0,1253.0,165.0,1273.0,147.0,1254.0,147.0,1312.0,104.0,1302.0,110.0,1280.0,136.0,1230.0,184.0,1268.0,150.0,1261.0,159.0,1282.0,136.0,1254.0,158.0,1272.0,144.0,1304.0,114.0,1293.0,122.0,1314.0,99.0,1209.0,205.0,1283.0,135.0,1293.0,114.0,1310.0,105.0,1185.0,230.0,1234.0,182.0,1254.0,166.0,1287.0,120.0,1415.0,0.0,1226.0,190.0,1162.0,252.0,1301.0,119.0,1266.0,141.0,1285.0,128.0,1415.0,0.0,1198.0,215.0,1272.0,148.0,1298.0,111.0,1278.0,136.0,1264.0,148.0,1262.0,156.0,1263.0,158.0,1261.0,148.0,1285.0,130.0,1240.0,175.0,1280.0,132.0,1271.0,147.0,1269.0,152.0,1275.0,140.0,1272.0,142.0,1217.0,199.0,1198.0,214.0,1185.0,229.0,1293.0,125.0,1282.0,133.0,1256.0,159.0,1234.0,181.0,1277.0,137.0,1293.0,125.0,1289.0,122.0,1302.0,113.0,1219.0,195.0,1273.0,141.0,1238.0,180.0,1269.0,152.0,1286.0,125.0,1283.0,131.0,1211.0,203.0,1314.0,100.0,1249.0,165.0,1269.0,152.0,1311.0,100.0,1270.0,145.0,1311.0,103.0,1245.0,169.0,1235.0,186.0,1295.0,118.0,1274.0,141.0,1316.0,98.0,1258.0,160.0,1292.0,126.0,1314.0,100.0,1262.0,154.0,1242.0,172.0,1279.0,135.0,1258.0,160.0,1302.0,112.0,1263.0,153.0,1231.0,183.0,1274.0,140.0,1284.0,134.0,1309.0,109.0,1261.0,153.0,1228.0,188.0,1301.0,117.0,1241.0,177.0,1315.0,103.0,1181.0,235.0
Pre-Kinder A,32.0,5.0,27.0,8.0,30.0,5.0,25.0,10.0,31.0,7.0,27.0,12.0,29.0,6.0,31.0,8.0,32.0,2.0,29.0,11.0,28.0,10.0,30.0,5.0,22.0,13.0,31.0,8.0,31.0,6.0,29.0,6.0,28.0,10.0,27.0,16.0,30.0,10.0,33.0,4.0,33.0,2.0,28.0,8.0,26.0,14.0,30.0,10.0,30.0,5.0,32.0,6.0,33.0,2.0,31.0,2.0,25.0,8.0,29.0,6.0,28.0,13.0,27.0,8.0,31.0,3.0,31.0,6.0,27.0,10.0,26.0,9.0,28.0,14.0,29.0,6.0,27.0,8.0,32.0,4.0,23.0,17.0,30.0,8.0,25.0,20.0,32.0,6.0,30.0,5.0,31.0,8.0,30.0,2.0,31.0,6.0,32.0,4.0,32.0,3.0,28.0,7.0,34.0,2.0,30.0,8.0,29.0,5.0,30.0,8.0,32.0,3.0,27.0,8.0,29.0,10.0,34.0,1.0,26.0,9.0,23.0,11.0,28.0,6.0,25.0,20.0,34.0,1.0,30.0,10.0,32.0,6.0,31.0,2.0,23.0,22.0,27.0,8.0,34.0,1.0,30.0,10.0,33.0,4.0,30.0,4.0,26.0,8.0,26.0,9.0,31.0,4.0,31.0,8.0,30.0,5.0,31.0,8.0,31.0,1.0,25.0,18.0,26.0,9.0,32.0,3.0,22.0,13.0,32.0,6.0,27.0,10.0,27.0,14.0,34.0,1.0,29.0,10.0,32.0,1.0,27.0,14.0,30.0,10.0,28.0,14.0,27.0,14.0,28.0,12.0,25.0,9.0,24.0,21.0,28.0,14.0,34.0,0.0,26.0,8.0,27.0,14.0,25.0,20.0,31.0,8.0,26.0,14.0,34.0,0.0,28.0,7.0,23.0,24.0,32.0,6.0,28.0,10.0,31.0,4.0,30.0,10.0,27.0,16.0,33.0,2.0,27.0,14.0,27.0,14.0,31.0,4.0,31.0,4.0,29.0,6.0,29.0,10.0,30.0,6.0,27.0,8.0,29.0,6.0,27.0,16.0,33.0,3.0,25.0,18.0,27.0,6.0,26.0,18.0,31.0,8.0,33.0,3.0,32.0,6.0,28.0,12.0,27.0,8.0,32.0,3.0,29.0,6.0,29.0,6.0,33.0,4.0,27.0,7.0,28.0,7.0,34.0,2.0,32.0,6.0,28.0,7.0,30.0,10.0,30.0,6.0,32.0,3.0,33.0,2.0,26.0,9.0,32.0,6.0,28.0,10.0,30.0,5.0,34.0,2.0,32.0,3.0,28.0,12.0,30.0,6.0,28.0,7.0,30.0,10.0,34.0,2.0,30.0,8.0,28.0,10.0,27.0,8.0,27.0,8.0,29.0,12.0,33.0,4.0,27.0,12.0,24.0,9.0,28.0,7.0,25.0,10.0,30.0,10.0,27.0,8.0
Pre-Kinder B,31.0,8.0,29.0,6.0,32.0,6.0,28.0,14.0,28.0,14.0,30.0,10.0,30.0,10.0,26.0,18.0,33.0,1.0,31.0,8.0,26.0,18.0,30.0,10.0,23.0,12.0,28.0,14.0,32.0,4.0,28.0,7.0,28.0,14.0,29.0,12.0,29.0,12.0,27.0,16.0,33.0,2.0,28.0,12.0,25.0,20.0,27.0,16.0,27.0,8.0,26.0,18.0,32.0,4.0,29.0,10.0,26.0,9.0,28.0,14.0,24.0,20.0,23.0,24.0,30.0,5.0,31.0,8.0,26.0,16.0,22.0,13.0,27.0,16.0,27.0,16.0,23.0,24.0,31.0,8.0,27.0,14.0,34.0,2.0,30.0,10.0,28.0,14.0,25.0,20.0,32.0,6.0,27.0,7.0,30.0,10.0,33.0,4.0,30.0,10.0,19.0,28.0,33.0,2.0,31.0,8.0,30.0,10.0,31.0,8.0,29.0,12.0,20.0,15.0,26.0,18.0,31.0,8.0,26.0,9.0,27.0,16.0,26.0,9.0,30.0,10.0,31.0,6.0,29.0,12.0,32.0,6.0,29.0,10.0,29.0,12.0,29.0,12.0,26.0,9.0,29.0,12.0,29.0,12.0,31.0,5.0,30.0,5.0,30.0,10.0,27.0,16.0,28.0,14.0,28.0,7.0,31.0,8.0,32.0,4.0,30.0,10.0,25.0,10.0,27.0,16.0,27.0,8.0,30.0,10.0,31.0,6.0,32.0,6.0,30.0,9.0,31.0,8.0,29.0,5.0,26.0,18.0,26.0,18.0,30.0,9.0,29.0,12.0,26.0,18.0,30.0,10.0,26.0,17.0,33.0,4.0,35.0,0.0,28.0,7.0,25.0,20.0,26.0,16.0,31.0,8.0,30.0,8.0,35.0,0.0,28.0,14.0,30.0,10.0,32.0,6.0,30.0,10.0,25.0,20.0,29.0,12.0,29.0,12.0,26.0,9.0,31.0,8.0,27.0,16.0,26.0,18.0,30.0,10.0,29.0,6.0,29.0,12.0,32.0,6.0,29.0,12.0,26.0,9.0,25.0,20.0,29.0,12.0,28.0,14.0,24.0,11.0,28.0,14.0,27.0,16.0,29.0,12.0,29.0,12.0,24.0,22.0,29.0,12.0,31.0,8.0,24.0,11.0,29.0,6.0,29.0,12.0,27.0,8.0,27.0,8.0,33.0,4.0,24.0,21.0,27.0,8.0,30.0,10.0,27.0,15.0,34.0,2.0,27.0,8.0,22.0,13.0,27.0,16.0,29.0,12.0,32.0,6.0,30.0,10.0,26.0,9.0,28.0,14.0,28.0,14.0,27.0,15.0,32.0,6.0,30.0,10.0,29.0,12.0,30.0,10.0,30.0,10.0,30.0,5.0,26.0,17.0,30.0,10.0,29.0,12.0,22.0,13.0,30.0,10.0,25.0,10.0,30.0,10.0,29.0,12.0
Kinder A,41.0,8.0,37.0,9.0,36.0,18.0,38.0,14.0,41.0,8.0,34.0,22.0,41.0,8.0,35.0,20.0,40.0,2.0,39.0,12.0,35.0,20.0,40.0,10.0,33.0,12.0,37.0,16.0,41.0,0.0,36.0,9.0,36.0,18.0,37.0,18.0,41.0,8.0,39.0,12.0,41.0,0.0,31.0,28.0,33.0,24.0,38.0,16.0,36.0,9.0,37.0,16.0,40.0,2.0,40.0,10.0,32.0,13.0,37.0,18.0,35.0,20.0,37.0,16.0,41.0,0.0,41.0,8.0,38.0,14.0,30.0,31.0,36.0,20.0,30.0,29.0,37.0,16.0,40.0,10.0,40.0,10.0,37.0,17.0,37.0,11.0,38.0,14.0,31.0,27.0,34.0,22.0,37.0,8.0,34.0,22.0,44.0,4.0,40.0,10.0,31.0,28.0,36.0,10.0,39.0,12.0,37.0,15.0,41.0,10.0,40.0,8.0,31.0,14.0,37.0,16.0,33.0,16.0,35.0,10.0,32.0,26.0,36.0,10.0,37.0,11.0,41.0,4.0,36.0,18.0,36.0,10.0,36.0,17.0,34.0,21.0,37.0,18.0,34.0,11.0,36.0,18.0,40.0,2.0,37.0,14.0,37.0,8.0,38.0,16.0,37.0,16.0,39.0,12.0,36.0,5.0,37.0,16.0,41.0,8.0,40.0,12.0,37.0,8.0,37.0,16.0,41.0,4.0,41.0,8.0,38.0,14.0,44.0,4.0,36.0,18.0,42.0,6.0,39.0,6.0,35.0,20.0,32.0,26.0,36.0,10.0,41.0,8.0,35.0,20.0,38.0,9.0,35.0,20.0,34.0,14.0,45.0,0.0,34.0,12.0,34.0,21.0,39.0,12.0,38.0,8.0,38.0,14.0,45.0,0.0,36.0,16.0,40.0,10.0,37.0,10.0,36.0,18.0,40.0,8.0,38.0,14.0,36.0,20.0,36.0,6.0,37.0,16.0,35.0,22.0,39.0,8.0,38.0,14.0,42.0,4.0,38.0,14.0,38.0,14.0,36.0,20.0,32.0,13.0,34.0,22.0,38.0,14.0,40.0,10.0,30.0,15.0,38.0,16.0,39.0,12.0,38.0,14.0,42.0,0.0,38.0,14.0,35.0,22.0,41.0,8.0,38.0,7.0,42.0,4.0,41.0,2.0,35.0,9.0,34.0,12.0,40.0,10.0,40.0,10.0,31.0,30.0,39.0,6.0,34.0,21.0,40.0,8.0,35.0,10.0,30.0,31.0,39.0,6.0,33.0,24.0,40.0,10.0,37.0,16.0,34.0,11.0,42.0,4.0,37.0,16.0,36.0,19.0,40.0,10.0,37.0,16.0,36.0,16.0,36.0,18.0,37.0,18.0,37.0,8.0,33.0,24.0,35.0,20.0,39.0,12.0,30.0,15.0,36.0,16.0,32.0,26.0,38.0,10.0,37.0,18.0
Kinder B,39.0,11.0,35.0,9.0,38.0,14.0,39.0,6.0,42.0,6.0,34.0,10.0,37.0,16.0,45.0,0.0,42.0,0.0,40.0,10.0,37.0,8.0,41.0,8.0,30.0,15.0,37.0,16.0,43.0,0.0,39.0,6.0,31.0,28.0,39.0,10.0,42.0,3.0,40.0,10.0,41.0,4.0,39.0,10.0,34.0,22.0,40.0,8.0,39.0,6.0,41.0,8.0,37.0,12.0,37.0,14.0,28.0,17.0,39.0,10.0,34.0,22.0,32.0,13.0,37.0,6.0,40.0,8.0,38.0,12.0,29.0,15.0,39.0,5.0,41.0,8.0,32.0,13.0,41.0,6.0,36.0,16.0,39.0,5.0,40.0,4.0,41.0,4.0,40.0,10.0,40.0,8.0,34.0,10.0,36.0,8.0,41.0,6.0,44.0,2.0,41.0,8.0,40.0,6.0,39.0,10.0,36.0,7.0,41.0,6.0,44.0,2.0,32.0,13.0,34.0,22.0,37.0,12.0,35.0,9.0,37.0,6.0,41.0,3.0,40.0,4.0,44.0,2.0,39.0,10.0,37.0,12.0,38.0,6.0,35.0,16.0,39.0,10.0,34.0,11.0,39.0,10.0,37.0,12.0,39.0,10.0,36.0,7.0,37.0,14.0,42.0,3.0,36.0,16.0,38.0,5.0,34.0,20.0,34.0,10.0,43.0,2.0,35.0,9.0,41.0,4.0,32.0,12.0,38.0,14.0,36.0,16.0,37.0,14.0,38.0,7.0,37.0,16.0,38.0,6.0,37.0,14.0,41.0,4.0,40.0,6.0,35.0,20.0,38.0,12.0,38.0,12.0,35.0,18.0,38.0,10.0,44.0,0.0,35.0,9.0,37.0,14.0,37.0,14.0,39.0,7.0,39.0,10.0,44.0,0.0,38.0,11.0,41.0,5.0,43.0,0.0,35.0,18.0,34.0,19.0,37.0,16.0,35.0,18.0,43.0,0.0,40.0,10.0,40.0,8.0,34.0,20.0,40.0,10.0,36.0,8.0,38.0,14.0,37.0,14.0,36.0,8.0,35.0,9.0,34.0,22.0,38.0,14.0,38.0,14.0,34.0,10.0,35.0,14.0,38.0,13.0,38.0,14.0,38.0,10.0,38.0,14.0,41.0,3.0,39.0,12.0,34.0,11.0,36.0,8.0,39.0,8.0,38.0,7.0,37.0,7.0,36.0,18.0,41.0,8.0,39.0,10.0,39.0,8.0,35.0,9.0,36.0,18.0,31.0,14.0,29.0,15.0,39.0,10.0,37.0,7.0,32.0,13.0,34.0,11.0,37.0,8.0,42.0,6.0,33.0,22.0,37.0,7.0,41.0,4.0,34.0,11.0,39.0,12.0,35.0,18.0,38.0,9.0,38.0,7.0,39.0,6.0,37.0,8.0,38.0,12.0,28.0,16.0,37.0,8.0,28.0,17.0,43.0,4.0,35.0,18.0
1º Básico A,29.0,6.0,20.0,12.0,28.0,8.0,29.0,6.0,29.0,6.0,27.0,10.0,29.0,6.0,29.0,6.0,29.0,2.0,26.0,12.0,25.0,14.0,29.0,6.0,27.0,5.0,26.0,11.0,29.0,4.0,29.0,3.0,28.0,8.0,24.0,14.0,26.0,12.0,28.0,8.0,30.0,2.0,30.0,4.0,28.0,8.0,26.0,10.0,28.0,4.0,29.0,6.0,30.0,2.0,28.0,8.0,29.0,3.0,26.0,10.0,30.0,4.0,29.0,6.0,28.0,3.0,29.0,6.0,29.0,6.0,28.0,4.0,25.0,12.0,26.0,12.0,29.0,6.0,31.0,2.0,27.0,10.0,26.0,12.0,25.0,12.0,29.0,6.0,28.0,8.0,29.0,6.0,27.0,5.0,29.0,6.0,24.0,16.0,32.0,0.0,27.0,10.0,27.0,8.0,31.0,2.0,30.0,4.0,26.0,12.0,28.0,8.0,28.0,4.0,30.0,4.0,27.0,8.0,30.0,2.0,26.0,12.0,25.0,7.0,25.0,12.0,30.0,4.0,29.0,6.0,25.0,12.0,28.0,8.0,24.0,16.0,27.0,8.0,22.0,10.0,29.0,6.0,26.0,10.0,27.0,10.0,22.0,10.0,26.0,10.0,27.0,10.0,27.0,10.0,21.0,10.0,29.0,6.0,29.0,6.0,26.0,12.0,22.0,9.0,27.0,10.0,28.0,4.0,29.0,6.0,28.0,8.0,27.0,10.0,27.0,10.0,26.0,12.0,28.0,4.0,26.0,12.0,25.0,14.0,28.0,8.0,26.0,12.0,27.0,10.0,26.0,12.0,27.0,10.0,29.0,6.0,32.0,0.0,26.0,6.0,26.0,10.0,28.0,8.0,29.0,6.0,29.0,6.0,32.0,0.0,25.0,12.0,29.0,6.0,30.0,4.0,27.0,10.0,30.0,2.0,28.0,8.0,30.0,4.0,31.0,1.0,30.0,4.0,24.0,16.0,29.0,4.0,29.0,6.0,28.0,4.0,29.0,6.0,25.0,14.0,23.0,18.0,26.0,5.0,25.0,14.0,28.0,8.0,28.0,8.0,23.0,9.0,25.0,14.0,32.0,0.0,28.0,8.0,30.0,4.0,29.0,6.0,24.0,16.0,25.0,14.0,28.0,4.0,28.0,4.0,30.0,4.0,30.0,2.0,19.0,13.0,30.0,4.0,29.0,6.0,29.0,6.0,30.0,4.0,28.0,6.0,31.0,2.0,23.0,9.0,28.0,4.0,29.0,6.0,27.0,10.0,30.0,2.0,29.0,6.0,28.0,4.0,30.0,4.0,30.0,4.0,19.0,26.0,30.0,4.0,29.0,6.0,28.0,8.0,27.0,9.0,20.0,24.0,29.0,3.0,27.0,10.0,27.0,10.0,27.0,10.0,27.0,5.0,27.0,10.0,28.0,8.0,27.0,8.0,20.0,24.0
1º Básico B,31.0,0.0,19.0,11.0,27.0,6.0,27.0,6.0,30.0,2.0,29.0,4.0,30.0,0.0,27.0,6.0,30.0,1.0,29.0,4.0,27.0,8.0,30.0,0.0,27.0,3.0,29.0,2.0,30.0,2.0,30.0,1.0,28.0,6.0,20.0,20.0,28.0,4.0,24.0,12.0,30.0,2.0,30.0,2.0,28.0,6.0,21.0,18.0,29.0,1.0,26.0,8.0,31.0,0.0,31.0,0.0,27.0,4.0,19.0,22.0,27.0,6.0,27.0,6.0,25.0,6.0,30.0,2.0,28.0,6.0,24.0,6.0,19.0,22.0,28.0,4.0,27.0,6.0,30.0,2.0,28.0,6.0,26.0,10.0,25.0,10.0,30.0,0.0,25.0,10.0,30.0,2.0,26.0,5.0,26.0,10.0,24.0,14.0,29.0,1.0,26.0,8.0,30.0,2.0,27.0,8.0,27.0,8.0,29.0,4.0,27.0,6.0,29.0,1.0,26.0,8.0,27.0,8.0,30.0,1.0,27.0,8.0,27.0,4.0,25.0,10.0,28.0,4.0,28.0,4.0,30.0,2.0,26.0,10.0,25.0,12.0,24.0,12.0,29.0,1.0,28.0,4.0,27.0,8.0,26.0,8.0,22.0,9.0,26.0,8.0,27.0,6.0,27.0,6.0,28.0,3.0,28.0,6.0,29.0,4.0,29.0,4.0,20.0,10.0,28.0,4.0,24.0,6.0,28.0,6.0,28.0,6.0,24.0,14.0,29.0,2.0,27.0,8.0,27.0,4.0,22.0,18.0,28.0,4.0,28.0,6.0,26.0,10.0,30.0,2.0,22.0,18.0,26.0,8.0,28.0,6.0,31.0,0.0,22.0,9.0,23.0,14.0,24.0,8.0,27.0,8.0,30.0,2.0,31.0,0.0,21.0,18.0,26.0,8.0,28.0,6.0,28.0,5.0,28.0,4.0,26.0,8.0,28.0,4.0,28.0,3.0,28.0,6.0,24.0,14.0,27.0,3.0,25.0,10.0,27.0,3.0,29.0,4.0,31.0,0.0,25.0,12.0,25.0,5.0,22.0,16.0,26.0,8.0,28.0,6.0,27.0,4.0,27.0,8.0,28.0,2.0,26.0,8.0,27.0,8.0,28.0,6.0,22.0,16.0,28.0,4.0,24.0,6.0,27.0,3.0,29.0,4.0,28.0,3.0,21.0,9.0,30.0,0.0,27.0,6.0,27.0,6.0,28.0,6.0,28.0,6.0,29.0,2.0,20.0,10.0,24.0,6.0,27.0,8.0,26.0,8.0,29.0,2.0,26.0,8.0,28.0,3.0,28.0,6.0,29.0,4.0,22.0,14.0,28.0,4.0,26.0,8.0,30.0,2.0,28.0,6.0,26.0,8.0,28.0,2.0,27.0,6.0,30.0,0.0,26.0,10.0,25.0,6.0,27.0,6.0,24.0,12.0,31.0,0.0,22.0,15.0
